日期,时间,股票名称,代码,变化前持仓,变化后持仓,成交价,说明
2026/04/28,21:44:18,微软,MSFT,0.00%,100.00%,,
2026/04/28,21:47:08,微软,MSFT,100.00%,0.00%,,
2026/04/28,21:47:27,微软,MSFT,0.00%,100.00%,,
2026/04/28,21:48:09,微软,MSFT,100.00%,0.00%,,
2026/04/28,21:51:23,微软,MSFT,0.00%,100.00%,,
2026/04/28,21:52:21,微软,MSFT,100.00%,0.00%,,
2026/04/28,21:53:31,Arm Holdings,ARM,0.00%,100.00%,,
2026/04/28,21:54:02,Arm Holdings,ARM,100.00%,0.00%,,
2026/04/28,21:55:39,诺基亚,NOK,0.00%,100.00%,,
2026/04/28,21:59:06,诺基亚,NOK,100.00%,0.00%,,
2026/04/28,22:02:19,闪迪,SNDK,0.00%,100.00%,,
2026/04/28,22:02:31,闪迪,SNDK,100.00%,0.00%,,
2026/04/28,22:04:05,甲骨文,ORCL,0.00%,100.00%,,
2026/04/28,22:04:32,甲骨文,ORCL,100.00%,0.00%,,
2026/04/28,22:06:07,NEBIUS,NBIS,0.00%,100.00%,,
2026/04/28,22:06:43,NEBIUS,NBIS,100.00%,0.00%,,
2026/04/28,22:09:47,蔚来,NIO,0.00%,100.00%,,
2026/04/28,22:11:36,蔚来,NIO,100.00%,0.00%,,
2026/04/28,22:12:58,美光科技,MU,0.00%,100.00%,,
2026/04/28,22:13:22,美光科技,MU,100.00%,0.00%,,
2026/04/28,22:14:18,闪迪,SNDK,0.00%,100.00%,,
2026/04/28,22:14:45,闪迪,SNDK,100.00%,0.00%,,
2026/04/28,22:17:31,康宁,GLW,0.00%,100.00%,,
2026/04/28,22:18:33,康宁,GLW,100.00%,0.00%,,
2026/04/28,22:22:23,Lumentum,LITE,0.00%,100.00%,,
2026/04/28,22:25:00,Lumentum,LITE,100.00%,0.00%,,
2026/04/28,22:30:07,英特尔,INTC,0.00%,100.00%,,
2026/04/28,22:30:16,英特尔,INTC,100.00%,0.00%,,
2026/04/28,22:30:42,2倍做多TSLA ETF-Direxion,TSLL,0.00%,100.00%,,
2026/04/28,22:31:40,2倍做多TSLA ETF-Direxion,TSLL,100.00%,0.00%,,
2026/04/28,22:32:43,Lumentum,LITE,0.00%,100.00%,,
2026/04/28,22:33:22,Lumentum,LITE,100.00%,0.00%,,
2026/04/28,22:36:07,康宁,GLW,0.00%,100.00%,,
2026/04/28,22:37:12,康宁,GLW,100.00%,0.00%,,
2026/04/28,22:37:47,高通,QCOM,0.00%,100.00%,,
2026/04/28,22:38:29,高通,QCOM,100.00%,0.00%,,
2026/04/28,22:40:01,高通,QCOM,0.00%,100.00%,,
2026/04/28,22:42:25,高通,QCOM,100.00%,0.00%,,
2026/04/28,22:44:31,CoreWeave,CRWV,0.00%,100.00%,,
2026/04/28,22:45:29,CoreWeave,CRWV,100.00%,0.00%,,
2026/04/28,22:49:51,埃克森美孚,XOM,0.00%,100.00%,,
2026/04/28,22:50:35,埃克森美孚,XOM,100.00%,0.00%,,
2026/04/29,21:37:43,Critical Metals,CRML,0.00%,100.00%,,
2026/04/29,21:38:49,Critical Metals,CRML,100.00%,0.00%,,
2026/04/29,21:44:19,Robinhood,HOOD,0.00%,100.00%,,
2026/04/29,21:44:32,Robinhood,HOOD,100.00%,0.00%,,
2026/04/29,21:44:42,Robinhood,HOOD,0.00%,100.00%,,
2026/04/29,21:45:02,Robinhood,HOOD,100.00%,0.00%,,
2026/04/29,21:45:45,Robinhood,HOOD,0.00%,100.00%,,
2026/04/29,21:46:11,Robinhood,HOOD,100.00%,0.00%,,
2026/04/29,21:48:47,谷歌-C,GOOG,0.00%,100.00%,,
2026/04/29,21:50:03,谷歌-C,GOOG,100.00%,0.00%,,
2026/04/29,21:50:13,Robinhood,HOOD,0.00%,100.00%,,
2026/04/29,21:51:06,Robinhood,HOOD,100.00%,0.00%,,
2026/04/29,21:51:17,Robinhood,HOOD,0.00%,100.00%,,
2026/04/29,21:51:45,Robinhood,HOOD,100.00%,0.00%,,
2026/04/29,21:51:55,Robinhood,HOOD,0.00%,100.00%,,
2026/04/29,21:52:18,Robinhood,HOOD,100.00%,0.00%,,
2026/04/29,21:53:50,Oklo Inc,OKLO,0.00%,100.00%,,
2026/04/29,21:54:02,Oklo Inc,OKLO,100.00%,0.00%,,
2026/04/29,22:13:31,2倍做多LITE ETF-Tradr,LITX,0.00%,100.00%,,
2026/04/29,22:13:47,2倍做多LITE ETF-Tradr,LITX,100.00%,0.00%,,
2026/04/29,22:18:39,2倍做多AMD ETF-GraniteShares,AMDL,0.00%,100.00%,,
2026/04/29,22:19:25,2倍做多AMD ETF-GraniteShares,AMDL,100.00%,0.00%,,
2026/04/29,22:19:44,2倍做多AMD ETF-GraniteShares,AMDL,0.00%,100.00%,,
2026/04/29,22:24:55,2倍做多AMD ETF-GraniteShares,AMDL,100.00%,0.00%,,
2026/04/29,22:29:51,2倍做多MSFT ETF-Direxion,MSFU,0.00%,100.00%,,
2026/04/29,22:36:04,2倍做多MSFT ETF-Direxion,MSFU,100.00%,0.00%,,
2026/04/29,22:37:24,SoFi Technologies,SOFI,0.00%,100.00%,,
2026/04/29,22:37:42,SoFi Technologies,SOFI,100.00%,0.00%,,
2026/04/29,22:47:47,AST SpaceMobile,ASTS,0.00%,100.00%,,
2026/04/29,22:48:28,AST SpaceMobile,ASTS,100.00%,0.00%,,
2026/04/29,23:00:03,Upstart,UPST,0.00%,100.00%,,
2026/04/29,23:12:11,Upstart,UPST,100.00%,0.00%,,
