time_stamp,symbol,before,after
2026-06-05 16:36:04.783,MSFT,0,20
2026-06-05 16:36:11.736,MSFT,20,0
2026-06-05 16:36:19.449,MSFT,0,20
2026-06-05 16:36:30.649,MSFT,20,0
2026-06-05 16:36:38.051,MSFT,0,20
2026-06-05 16:36:46.432,MSFT,20,0
2026-06-05 16:36:56.668,MSFT,0,20
2026-06-05 16:37:03.050,MSFT,20,0
2026-06-05 16:37:08.435,MSFT,0,20
2026-06-05 16:37:14.473,MSFT,20,0
2026-06-05 16:37:20.417,MSFT,0,20
2026-06-05 16:37:28.650,MSFT,20,0
2026-06-05 16:37:38.392,MSFT,0,20
2026-06-05 16:37:43.151,MSFT,20,0
2026-06-05 16:37:49.540,MSFT,0,20
2026-06-05 16:37:58.183,MSFT,20,0
